,,good,total,accuracy
878,0.95,6,8,0.75
1384,0.95,7,8,0.875
1417,0.95,6,8,0.75
835,0.95,1,4,0.25
396,0.95,5,5,1.0
766,0.95,2,4,0.5
491,0.95,13,16,0.8125
523,0.95,6,8,0.75
789,0.95,7,10,0.7
442,0.95,10,14,0.7142857142857143
1317,0.95,0,6,0.0
1041,0.95,2,6,0.3333333333333333
576,0.95,6,7,0.8571428571428571
266,0.95,0,8,0.0
1305,0.95,4,7,0.5714285714285714
651,0.95,6,8,0.75
1057,0.95,0,2,0.0
579,0.95,2,9,0.2222222222222222
342,0.95,4,6,0.6666666666666666
268,0.95,3,4,0.75
449,0.95,4,6,0.6666666666666666
1265,0.95,9,15,0.6
300,0.95,5,8,0.625
207,0.95,19,19,1.0
110,0.95,3,7,0.42857142857142855
689,0.95,7,8,0.875
1031,0.95,6,12,0.5
1290,0.95,4,8,0.5
683,0.95,10,13,0.7692307692307693
233,0.95,12,12,1.0
1352,0.95,8,9,0.8888888888888888
1023,0.95,7,7,1.0
1091,0.95,13,14,0.9285714285714286
451,0.95,11,14,0.7857142857142857
1003,0.95,11,14,0.7857142857142857
1281,0.95,0,5,0.0
92,0.95,7,12,0.5833333333333334
760,0.95,6,6,1.0
414,0.95,8,10,0.8
1231,0.95,9,12,0.75
898,0.95,7,13,0.5384615384615384
830,0.95,7,9,0.7777777777777778
106,0.95,4,5,0.8
871,0.95,9,15,0.6
1106,0.95,2,5,0.4
337,0.95,4,8,0.5
422,0.95,6,9,0.6666666666666666
415,0.95,0,5,0.0
1013,0.95,3,8,0.375
1122,0.95,5,8,0.625
454,0.95,7,9,0.7777777777777778
50,0.95,4,12,0.3333333333333333
1407,0.95,2,4,0.5
1388,0.95,0,6,0.0
548,0.95,0,4,0.0
1307,0.95,10,13,0.7692307692307693
1134,0.95,9,9,1.0
297,0.95,5,12,0.4166666666666667
765,0.95,6,7,0.8571428571428571
1415,0.95,7,9,0.7777777777777778
1092,0.95,9,12,0.75
684,0.95,7,12,0.5833333333333334
863,0.95,0,5,0.0
858,0.95,4,6,0.6666666666666666
254,0.95,9,11,0.8181818181818182
199,0.95,10,17,0.5882352941176471
1293,0.95,0,6,0.0
740,0.95,5,6,0.8333333333333334
459,0.95,5,9,0.5555555555555556
1374,0.95,4,9,0.4444444444444444
1036,0.95,3,8,0.375
513,0.95,4,5,0.8
295,0.95,10,11,0.9090909090909091
1262,0.95,8,9,0.8888888888888888
238,0.95,8,16,0.5
533,0.95,9,10,0.9
1287,0.95,5,9,0.5555555555555556
178,0.95,14,17,0.8235294117647058
1118,0.95,10,10,1.0
327,0.95,15,22,0.6818181818181818
808,0.95,10,11,0.9090909090909091
1202,0.95,5,8,0.625
1126,0.95,6,9,0.6666666666666666
1019,0.95,11,16,0.6875
832,0.95,2,9,0.2222222222222222
556,0.95,4,13,0.3076923076923077
1034,0.95,3,5,0.6
546,0.95,6,7,0.8571428571428571
170,0.95,3,14,0.21428571428571427
325,0.95,4,6,0.6666666666666666
728,0.95,7,12,0.5833333333333334
552,0.95,2,5,0.4
23,0.95,9,15,0.6
860,0.95,2,5,0.4
4,0.95,13,15,0.8666666666666667
1282,0.95,1,8,0.125
713,0.95,6,9,0.6666666666666666
923,0.95,4,9,0.4444444444444444
877,0.95,5,8,0.625
1011,0.95,3,7,0.42857142857142855
825,0.95,1,4,0.25
289,0.95,12,14,0.8571428571428571
324,0.95,4,4,1.0
939,0.95,0,4,0.0
712,0.95,2,6,0.3333333333333333
690,0.95,3,9,0.3333333333333333
994,0.95,1,4,0.25
137,0.95,4,4,1.0
265,0.95,10,10,1.0
752,0.95,5,9,0.5555555555555556
1005,0.95,3,7,0.42857142857142855
1163,0.95,3,7,0.42857142857142855
256,0.95,3,7,0.42857142857142855
330,0.95,5,6,0.8333333333333334
1397,0.95,12,15,0.8
1224,0.95,13,14,0.9285714285714286
361,0.95,4,6,0.6666666666666666
200,0.95,7,11,0.6363636363636364
482,0.95,2,8,0.25
108,0.95,5,7,0.7142857142857143
472,0.95,8,8,1.0
1139,0.95,9,10,0.9
444,0.95,7,7,1.0
259,0.95,3,9,0.3333333333333333
679,0.95,3,5,0.6
167,0.95,4,6,0.6666666666666666
700,0.95,0,6,0.0
915,0.95,12,13,0.9230769230769231
847,0.95,8,10,0.8
304,0.95,7,12,0.5833333333333334
80,0.95,1,3,0.3333333333333333
914,0.95,6,6,1.0
479,0.95,8,10,0.8
1133,0.95,6,9,0.6666666666666666
1299,0.95,10,13,0.7692307692307693
771,0.95,5,5,1.0
1169,0.95,6,8,0.75
208,0.95,0,7,0.0
956,0.95,8,9,0.8888888888888888
1412,0.95,7,10,0.7
889,0.95,1,3,0.3333333333333333
402,0.95,6,8,0.75
0,0.95,3,10,0.3
321,0.95,9,12,0.75
692,0.95,5,7,0.7142857142857143
854,0.95,6,8,0.75
757,0.95,2,8,0.25
1156,0.95,0,5,0.0
464,0.95,8,9,0.8888888888888888
290,0.95,9,10,0.9
925,0.95,7,11,0.6363636363636364
588,0.95,4,5,0.8
213,0.95,10,13,0.7692307692307693
352,0.95,5,8,0.625
1283,0.95,6,9,0.6666666666666666
68,0.95,4,8,0.5
447,0.95,5,9,0.5555555555555556
296,0.95,5,8,0.625
761,0.95,6,7,0.8571428571428571
743,0.95,3,9,0.3333333333333333
40,0.95,15,15,1.0
1409,0.95,0,6,0.0
1334,0.95,7,9,0.7777777777777778
182,0.95,7,11,0.6363636363636364
244,0.95,3,11,0.2727272727272727
816,0.95,0,6,0.0
90,0.95,3,5,0.6
516,0.95,1,4,0.25
413,0.95,1,4,0.25
195,0.95,3,10,0.3
1210,0.95,2,8,0.25
987,0.95,2,6,0.3333333333333333
458,0.95,0,8,0.0
601,0.95,11,13,0.8461538461538461
1413,0.95,3,7,0.42857142857142855
147,0.95,3,8,0.375
1153,0.95,15,16,0.9375
1267,0.95,3,5,0.6
1213,0.95,4,6,0.6666666666666666
355,0.95,6,10,0.6
1208,0.95,2,9,0.2222222222222222
928,0.95,3,9,0.3333333333333333
203,0.95,8,9,0.8888888888888888
1375,0.95,2,6,0.3333333333333333
241,0.95,4,4,1.0
1155,0.95,8,9,0.8888888888888888
1370,0.95,4,6,0.6666666666666666
1064,0.95,9,14,0.6428571428571429
1162,0.95,1,11,0.09090909090909091
1124,0.95,4,7,0.5714285714285714
911,0.95,5,6,0.8333333333333334
269,0.95,11,14,0.7857142857142857
82,0.95,6,7,0.8571428571428571
919,0.95,9,10,0.9
783,0.95,9,12,0.75
39,0.95,8,9,0.8888888888888888
438,0.95,5,8,0.625
214,0.95,10,15,0.6666666666666666
1271,0.95,3,7,0.42857142857142855
339,0.95,0,5,0.0
358,0.95,3,9,0.3333333333333333
724,0.95,8,11,0.7272727272727273
1248,0.95,6,9,0.6666666666666666
219,0.95,0,6,0.0
279,0.95,7,14,0.5
351,0.95,1,7,0.14285714285714285
95,0.95,6,9,0.6666666666666666
802,0.95,12,12,1.0
1369,0.95,2,6,0.3333333333333333
570,0.95,12,15,0.8
918,0.95,3,16,0.1875
727,0.95,7,10,0.7
936,0.95,7,11,0.6363636363636364
211,0.95,10,17,0.5882352941176471
88,0.95,0,5,0.0
1232,0.95,0,2,0.0
1174,0.95,0,1,0.0
950,0.95,9,10,0.9
667,0.95,4,8,0.5
416,0.95,6,8,0.75
890,0.95,3,6,0.5
542,0.95,1,7,0.14285714285714285
1181,0.95,4,9,0.4444444444444444
942,0.95,1,6,0.16666666666666666
1330,0.95,3,5,0.6
677,0.95,7,8,0.875
1147,0.95,7,11,0.6363636363636364
1161,0.95,9,10,0.9
20,0.95,10,11,0.9090909090909091
631,0.95,6,8,0.75
85,0.95,3,5,0.6
1324,0.95,5,8,0.625
389,0.95,3,7,0.42857142857142855
1357,0.95,10,12,0.8333333333333334
983,0.95,2,8,0.25
507,0.95,7,10,0.7
79,0.95,3,9,0.3333333333333333
1347,0.95,3,7,0.42857142857142855
1274,0.95,6,6,1.0
466,0.95,9,10,0.9
275,0.95,4,5,0.8
26,0.95,9,10,0.9
696,0.95,0,4,0.0
539,0.95,4,9,0.4444444444444444
473,0.95,7,10,0.7
1241,0.95,6,7,0.8571428571428571
1405,0.95,3,7,0.42857142857142855
1332,0.95,8,9,0.8888888888888888
788,0.95,4,4,1.0
721,0.95,5,5,1.0
29,0.95,7,12,0.5833333333333334
1,0.95,5,6,0.8333333333333334
1353,0.95,6,8,0.75
16,0.95,7,12,0.5833333333333334
750,0.95,5,8,0.625
1002,0.95,6,9,0.6666666666666666
310,0.95,7,8,0.875
460,0.95,4,9,0.4444444444444444
1360,0.95,7,8,0.875
1116,0.95,2,6,0.3333333333333333
146,0.95,11,12,0.9166666666666666
929,0.95,6,13,0.46153846153846156
519,0.95,6,10,0.6
378,0.95,1,4,0.25
1131,0.95,12,14,0.8571428571428571
1314,0.95,10,11,0.9090909090909091
424,0.95,6,9,0.6666666666666666
1149,0.95,2,9,0.2222222222222222
1158,0.95,12,14,0.8571428571428571
1055,0.95,11,14,0.7857142857142857
729,0.95,8,11,0.7272727272727273
853,0.95,11,14,0.7857142857142857
635,0.95,8,10,0.8
1270,0.95,3,4,0.75
545,0.95,11,13,0.8461538461538461
115,0.95,7,9,0.7777777777777778
1346,0.95,5,6,0.8333333333333334
